fish_id,site_id,year,day,month,location,fish_num,species,length,height,Lep_cope,chalA,chalB,Lep_PAmale,Lep_PAfemale,Lep_male,Lep_nongravid,Lep_gravid,Caligus_cope,Caligus_mot,Caligus_gravid,unid_cope,chal_unid,unid_PA,unid_adult,chal_scar,pred_scar,mot_scar,hem,mateguarding,eroded_gill,blue_blotches,pinched_belly,scales,comments
4919,175,2006,29,3,Glacier,,chum,35,,,,,,,,0,,,,,,,,,,,,,,,,,,
4920,175,2006,29,3,Glacier,,chum,37,,,,,,,,0,,,,,,,,,,,,,,,,,,
4921,175,2006,29,3,Glacier,,chum,37,,,,,,,,0,,,,,,,,,,,,,,,,,,
4922,175,2006,29,3,Glacier,,chum,37,,,,,,,,0,,,,,,,,,,,,,,,,,,
4923,175,2006,29,3,Glacier,,chum,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4924,175,2006,29,3,Glacier,,chum,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4925,175,2006,29,3,Glacier,,chum,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4926,175,2006,29,3,Glacier,,chum,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4927,175,2006,29,3,Glacier,,chum,38,,,,,,,,0,,,,,,,,,,,,,,,,,,
4928,175,2006,29,3,Glacier,,chum,39,,1,,,,,,0,,,,,,,,,,,,,,,,,,
4929,175,2006,29,3,Glacier,,chum,39,,,,,,,,0,,,,,,,,,,,,,,,,,,
4930,175,2006,29,3,Glacier,,chum,42,,,,,,,,0,,,,,,,,,,,,,,,,,,
4931,175,2006,29,3,Glacier,,chum,42,,,,,,,,0,,,,,,,,,,,,,,,,,,
4932,175,2006,29,3,Glacier,,chum,42,,,,,,,,0,,,,,,,,,,,,,,,,,,
4933,175,2006,29,3,Glacier,,chum,43,,,2,,,,,0,,,,,,,,,,,,,,,,,,
4934,175,2006,29,3,Glacier,,pink,32,,,,,,,,0,,,,,,,,,,,,,,,,,,
